episode,total_reward
465,-395.7657399973716
466,-424.6214749187157
467,-425.48761943181114
468,-389.64284927672395
469,-420.9027621742354
470,-448.29133972782944
471,-441.76741115841526
472,-515.3831026691445
473,-559.0622074132614
474,-5344.089301335786
475,-2787.0386168533314
476,-1790.1086668475045
477,-905.549209194725
478,-1070.9811687280094
479,-953.0331059654739
480,-1000.2437544047157
481,-913.445332110696
482,-1133.3535092989082
483,-1374.1926595154575
484,-2681.567420689278
485,-3568.979290225233
486,-5693.757963486938
487,-6647.894548740698
488,-3282.8242580265623
489,-890.2521603854893
490,-6183.513503586462
491,-3872.324452834285
492,-2509.4253996024872
493,-2704.631916709924
494,-1291.9337727250233
495,-1161.9195685723407
496,-814.7943362296207
497,-838.1088814938624
498,-826.9122306983305
499,-817.8565882829625
500,-846.1388232757646
501,-831.898311063967
502,-882.366486863017
503,-1012.9651262126895
504,-1081.0268355517785
505,-1180.4356125424301
506,-1991.9456054969469
507,-1734.6015484001289
