episode,total_reward
1,-429.14391398461044
2,-568.1065684402994
3,-532.1959747938145
4,-482.8975488850566
5,-511.0840720487432
6,-481.69249190882874
7,-480.1219783256719
8,-455.64944672677393
9,-444.979900006371
10,-459.5189816172321
11,-473.41169754715634
12,-470.4999283602427
13,-466.15739623241274
14,-484.9067262470563
15,-479.56901976272087
16,-513.1355217035317
17,-547.6860920061181
18,-533.8762585538129
19,-540.4019413854282
20,-573.6321450277852
21,-570.9947310758357
22,-573.9617412937525
23,-598.8256309361589
24,-628.9005749441841
25,-682.9434646572123
26,-671.155597184361
27,-713.6327967177399
28,-686.7678573158939
29,-672.0095079707083
30,-694.3985796429884
31,-696.6594612739641
32,-684.2593369834095
33,-735.8186476888081
34,-698.6243789461143
35,-713.4230350450135
36,-721.5745994125713
37,-780.9707807063303
38,-838.312418772196
39,-920.0777205811587
40,-942.5227413459168
41,-1072.8201183160381
42,-1198.4649421276085
43,-1329.135950976738
44,-1625.9348804434314
45,-2740.29862501542
46,-5897.105802655269
47,-5179.552763006877
48,-1995.1532390118894
49,-796.2958434769787
50,-841.0801151670727
51,-776.9195781651922
52,-666.5071960403203
53,-687.5129680284494
54,-689.6068972412479
55,-655.1901045798837
56,-633.9655408846482
57,-669.3911159299028
58,-661.7995432410121
59,-750.6877860955041
60,-708.4667385454738
61,-786.672809937972
62,-783.608990466515
63,-733.0132436589405
64,-787.9297461966281
65,-783.4391955699014
66,-792.9823810976334
67,-782.9886749715137
68,-778.880897592882
69,-789.1208791315883
70,-770.5270842206048
71,-803.1655730461267
72,-786.5479574522922
73,-814.624821618547
74,-792.7211478473391
75,-799.179737985696
76,-777.4882465675968
77,-826.3657506899258
78,-879.5717176201922
79,-830.7418650985281
80,-826.2061499125161
81,-842.8474081495609
82,-775.8914854647662
83,-758.7116353071624
84,-819.9880951739675
85,-844.4298285477626
86,-827.7721231368047
87,-829.6769066017836
88,-778.9489634271708
89,-753.6460516753511
90,-790.2493796946297
91,-806.4155853347045
92,-805.1235522356258
93,-741.2549396741368
94,-785.234275350403
95,-785.533829274872
96,-812.7695123738187
97,-785.2315018538544
98,-794.140173376303
99,-788.6715454271861
100,-777.4418834355853
101,-786.5801324601023
102,-748.4795935646408
103,-797.3919429086432
104,-814.5331659359334
105,-762.8705446133472
106,-755.3355364221982
107,-859.7269907856909
108,-744.0184035525375
109,-822.1421209091155
110,-791.659564316729
111,-778.7974385989822
112,-741.2177336168397
113,-780.5433600622715
114,-797.2000699126828
115,-824.1840996499925
116,-811.8435676868863
117,-799.3944086612785
118,-829.2109044010299
119,-818.0586957864568
120,-807.8766951691241
121,-769.5208190897449
122,-804.555633946266
123,-765.1179370780845
124,-803.4851027417226
125,-786.1918875239164
126,-827.861042734489
127,-855.3970313761833
128,-776.7297488233085
129,-791.4880690859
130,-702.4343756943844
131,-785.3812079462625
132,-732.6554915392496
133,-813.3050522328031
134,-788.8266171155975
135,-851.4897983076087
136,-756.1894291554761
137,-823.3370489115559
138,-842.5915332281008
139,-826.6235989163486
